Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1684202700000,26995.80000000,26996.60000000,26987.66000000,26987.66000000,18.04220000,1684202759999,487044.53696010,426,1.48476000,40080.74643340,0
1684202760000,26987.66000000,26987.67000000,26985.40000000,26985.40000000,6.23509000,1684202819999,168257.56667020,310,1.97428000,53277.03520720,0
1684202820000,26985.41000000,27003.62000000,26985.40000000,27003.16000000,18.34023000,1684202879999,495134.09911070,512,8.71033000,235136.33221950,0
1684202880000,27003.16000000,27023.02000000,27003.15000000,27018.68000000,34.38301000,1684202939999,928762.13439910,569,26.06871000,704144.89156340,0
1684202940000,27018.67000000,27025.55000000,27014.21000000,27014.21000000,8.84920000,1684202999999,239128.03869440,366,3.36703000,90981.28711090,0
1684203000000,27014.22000000,27020.00000000,27014.21000000,27019.99000000,5.31417000,1684203059999,143573.13722000,208,4.72339000,127610.72042820,0
1684203060000,27020.00000000,27020.00000000,27018.00000000,27020.00000000,10.37292000,1684203119999,280272.29663870,320,5.29505000,143071.48050340,0
1684203120000,27019.99000000,27023.18000000,27016.91000000,27023.18000000,9.45479000,1684203179999,255467.62659680,533,6.74605000,182272.66946940,0
1684203180000,27023.18000000,27023.32000000,27018.01000000,27023.32000000,12.49418000,1684203239999,337599.27533100,450,4.98977000,134826.06017840,0
1684203240000,27023.31000000,27038.82000000,27020.77000000,27038.81000000,13.46571000,1684203299999,363926.28416960,565,11.44271000,309256.98601780,0
1684203300000,27038.81000000,27038.84000000,27016.90000000,27016.90000000,28.82415000,1684203359999,779141.51461460,658,4.37797000,118327.51565240,0
1684203360000,27016.90000000,27016.91000000,27001.42000000,27005.89000000,26.57517000,1684203419999,717825.99636040,593,10.23047000,276309.83340800,0
1684203420000,27005.88000000,27005.89000000,27000.00000000,27000.02000000,6.69954000,1684203479999,180896.74084240,359,2.86274000,77294.49110770,0
1684203480000,27000.03000000,27013.15000000,27000.02000000,27001.44000000,19.92871000,1684203539999,538211.12595580,606,13.02600000,351771.94559090,0
1684203540000,27001.44000000,27007.49000000,26999.99000000,26999.99000000,30.63895000,1684203599999,827386.28249270,428,11.23918000,303491.27794030,0
1684203600000,27000.00000000,27000.00000000,26993.65000000,26999.36000000,4.80955000,1684203659999,129845.37550020,342,1.94226000,52435.22001220,0
1684203660000,26999.35000000,26999.36000000,26991.75000000,26996.71000000,10.14569000,1684203719999,273882.78938520,320,4.20909000,113621.54022400,0
1684203720000,26996.71000000,26998.21000000,26996.70000000,26998.20000000,5.23642000,1684203779999,141373.35982500,215,4.08008000,110154.42266520,0
1684203780000,26998.19000000,26998.20000000,26977.99000000,26982.79000000,19.41616000,1684203839999,523923.40334340,623,10.73095000,289553.46650070,0
1684203840000,26982.80000000,26990.39000000,26979.49000000,26987.64000000,37.73156000,1684203899999,1018053.72335910,552,22.24871000,600301.78838440,0
1684203900000,26987.65000000,26999.97000000,26987.64000000,26999.96000000,6.54335000,1684203959999,176653.08262020,390,4.35736000,117637.07268710,0
1684203960000,26999.97000000,27010.02000000,26999.96000000,27008.09000000,18.61125000,1684204019999,502651.08119170,361,5.65493000,152710.48768800,0
1684204020000,27008.08000000,27008.09000000,26995.88000000,27000.01000000,30.05964000,1684204079999,811631.78716760,566,15.73028000,424707.13818960,0
1684204080000,27000.00000000,27003.16000000,27000.00000000,27003.16000000,32.28896000,1684204139999,871821.81267840,289,5.19414000,140245.23680640,0
1684204140000,27003.15000000,27003.16000000,27001.36000000,27001.37000000,4.84819000,1684204199999,130908.06101050,188,2.80319000,75690.12646970,0
1684204200000,27001.36000000,27005.00000000,27000.00000000,27000.01000000,45.92121000,1684204259999,1239932.66147930,549,22.67920000,612392.84726390,0
1684204260000,27000.01000000,27000.02000000,26976.61000000,26977.97000000,29.66476000,1684204319999,800785.79010680,485,3.20972000,86593.85022610,0
1684204320000,26977.97000000,26983.66000000,26977.97000000,26983.66000000,6.37988000,1684204379999,172135.68373620,271,3.35921000,90630.98652870,0
1684204380000,26983.65000000,26994.87000000,26983.65000000,26993.74000000,17.12389000,1684204439999,462170.90195440,396,11.28858000,304672.40426720,0
1684204440000,26993.73000000,26999.99000000,26993.73000000,26999.98000000,8.25167000,1684204499999,222760.06137560,227,6.66439000,179908.92899320,0
1684204500000,26999.99000000,27007.60000000,26999.98000000,27007.60000000,4.90109000,1684204559999,132340.77728720,356,3.34390000,90292.13905810,0
1684204560000,27007.59000000,27025.31000000,27007.59000000,27022.94000000,13.67259000,1684204619999,369422.00313650,497,9.79690000,264696.73006420,0
1684204620000,27022.95000000,27023.14000000,27019.48000000,27019.49000000,6.89765000,1684204679999,186384.47440920,258,5.68215000,153539.57067390,0
1684204680000,27019.49000000,27026.25000000,27017.28000000,27017.29000000,12.89899000,1684204739999,348547.50590020,398,10.52169000,284306.94356500,0
